"TIPO_EVENTO";"DEPARTAMENTO";"CODIGO_DANE_DEPARTAMENTO";"MUNICIPIO";"CODIGO_DANE_MUNICIPIO";"AÑO";"MES";"EVENTO";"TIPO_LUGAR";"TIPO_AREA";"LATITUD_CABECERA";"LONGITUD_CABECERA";"SITIO";"UBICACION";"uno";"date"
"Accidente por MAP";"ANTIOQUIA";5;"GRANADA";5313;2005;8;"Accidente";"Sin informacion";"Rural";6.143703;-75.185183;"Sin información";"POINT (-75.185183 6.143703)";"2005-08-01";38565
"Incautaciones";"HUILA";41;"COLOMBIA";41206;2008;5;"Incidente";"Sin informacion";"Rural";3.375361;-74.802161;"";"POINT (-74.802161 3.375361)";"2008-05-01";39569
"Accidente por MAP";"ANTIOQUIA";5;"ANORÍ";5040;2012;6;"Accidente";"Sin informacion";"Rural";7.19;-75.07305556;"Vereda Cruces";"POINT (-75.07305556 7.19)";"2012-06-01";41061
"Sospecha de campo minado";"SANTANDER";68;"EL CARMEN";68235;2013;6;"Incidente";"Fincas";"Rural";6.7094;-73.50726;"";"POINT (-73.50726 6.7094)";"2013-06-01";41426
"Desminado militar en operaciones";"CAUCA";19;"SUÁREZ";19780;2015;1;"Incidente";"Sin informacion";"Rural";3.093888889;-76.76527778;"Vereda El Ceral";"POINT (-76.76527778 3.093888889)";"2015-01-01";42005
"Desminado militar en operaciones";"LA GUAJIRA";44;"MANAURE";44560;2014;12;"Incidente";"Sin informacion";"Rural";11.53;-72.35472222;"Km 57+800";"POINT (-72.35472222 11.53)";"2014-12-01";41974
"Accidente por MAP";"CORDOBA";23;"PUERTO LIBERTADOR";23580;2009;6;"Accidente";"Sin informacion";"Rural";7.883545;-75.670508;"Flechas";"POINT (-75.670508 7.883545)";"2009-06-01";39965
"Desminado militar en operaciones";"ANTIOQUIA";5;"VALDIVIA";5854;2010;2;"Incidente";"En sobre cerca rivera de un rio";"Rural";7.357778;-75.370833;"La Orilla Río Pescado";"POINT (-75.370833 7.357778)";"2010-02-01";40210
"Incautaciones";"NORTE DE SANTANDER";54;"HACARÍ";54344;2008;5;"Incidente";"Sin informacion";"Rural";8.321825;-73.145699;"";"POINT (-73.145699 8.321825)";"2008-05-01";39569
"Accidente por MAP";"CAUCA";19;"CALOTO";19142;2007;6;"Accidente";"Sin informacion";"Rural";3.012778;-76.331944;"Vereda Carpintero";"POINT (-76.331944 3.012778)";"2007-06-01";39234
"Desminado militar en operaciones";"CAUCA";19;"MORALES";19473;2013;3;"Incidente";"Sin informacion";"Rural";2.92;-76.8138889;"Vereda Los Quingos";"POINT (-76.8138889 2.92)";"2013-03-01";41334
"Incautaciones";"TOLIMA";73;"DOLORES";73236;2000;2;"Incidente";"Sin informacion";"Rural";3.539477;-74.897326;"";"POINT (-74.897326 3.539477)";"2000-02-01";36557
"Accidente por MAP";"BOLIVAR";13;"EL CARMEN DE BOLÍVAR";13244;2003;9;"Accidente";"Sin informacion";"Rural";9.685015;-75.122094;"En La Vía A Zambrano - Sector Capaca";"POINT (-75.122094 9.685015)";"2003-09-01";37865
"Desminado militar en operaciones";"ARAUCA";81;"FORTUL";81300;2014;7;"Incidente";"Sin informacion";"Rural";6.774722222;-71.75138889;"Pk 208 Trazado Obc Vereda Agua Viva";"POINT (-71.75138889 6.774722222)";"2014-07-01";41821
"Desminado militar en operaciones";"ANTIOQUIA";5;"TARAZÁ";5790;2009;3;"Incidente";"En sobre cerca rivera de un rio";"Rural";7.295833;-75.213889;"Río Nechi";"POINT (-75.213889 7.295833)";"2009-03-01";39873
"Accidente por MUSE";"PUTUMAYO";86;"ORITO";86320;2014;5;"Accidente";"Sin informacion";"Rural";0.664866;-76.869171;"Vereda Guayabal";"POINT (-76.869171 0.664866)";"2014-05-01";41760
"Desminado militar en operaciones";"CHOCO";27;"JURADÓ";27372;2015;2;"Incidente";"Sin informacion";"Rural";6.664222222;-77.52586111;"Sector Piña";"POINT (-77.52586111 6.664222222)";"2015-02-01";42036
"Desminado militar en operaciones";"NARIÑO";52;"BARBACOAS";52079;2019;6;"Incidente";"Sin informacion";"Rural";1.26694444;-78.465;"QUEJAMBI";"POINT (-78.465 1.26694444)";"2019-06-01";43617
"Desminado militar en operaciones";"ANTIOQUIA";5;"CAICEDO";5125;2012;2;"Incidente";"Sin informacion";"Rural";6.427222;-76.02;"Vereda Acesi";"POINT (-76.02 6.427222)";"2012-02-01";40940
"Desminado militar en operaciones";"ARAUCA";81;"ARAUQUITA";81065;2004;9;"Incidente";"Sin informacion";"Rural";7.025;-71.390556;"";"POINT (-71.390556 7.025)";"2004-09-01";38231
"Desminado militar en operaciones";"GUAVIARE";95;"SAN JOSÉ DEL GUAVIARE";95001;2009;9;"Incidente";"Sin informacion";"Rural";2.801389;-71.644167;"El Cumare";"POINT (-71.644167 2.801389)";"2009-09-01";40057
"Desminado militar en operaciones";"NARIÑO";52;"TUMACO";52835;2014;7;"Incidente";"Sin informacion";"Rural";1.430277778;-78.28944444;"Km 93";"POINT (-78.28944444 1.430277778)";"2014-07-01";41821
"Desminado militar en operaciones";"ARAUCA";81;"SARAVENA";81736;2017;2;"Incidente";"Sin informacion";"Rural";6.843611111;-71.92138889;"ALTO SAN MIGUEL";"POINT (-71.92138889 6.843611111)";"2017-02-01";42767
"Desminado militar en operaciones";"ARAUCA";81;"ARAUQUITA";81065;2015;1;"Incidente";"Sin informacion";"Rural";6.655;-71.05972222;"Caño Azul";"POINT (-71.05972222 6.655)";"2015-01-01";42005
"Accidente por MAP";"NORTE DE SANTANDER";54;"SANTIAGO";54680;2006;8;"Accidente";"Sin informacion";"Rural";7.903;-72.685;"Sector Las Lajas, Vereda La María";"POINT (-72.685 7.903)";"2006-08-01";38930
"Desminado militar en operaciones";"BOYACA";15;"PISBA";15550;2009;5;"Incidente";"Sin informacion";"Rural";5.688333;-72.5;"El Mormu";"POINT (-72.5 5.688333)";"2009-05-01";39934
"Accidente por MAP";"NARIÑO";52;"TUMACO";52835;2014;11;"Accidente";"Sin informacion";"Rural";1.315555556;-78.59861111;"La Alduana";"POINT (-78.59861111 1.315555556)";"2014-11-01";41944
